iata,name,country,tz
MKZ,Malacca Airport,Malaysia,Asia/Kuala_Lumpur
MLA,Malta International Airport,Malta,Europe/Malta
MLB,Melbourne International Airport,United States,America/New_York
MLC,Mc Alester Regional Airport,United States,America/Chicago
MLE,Malé International Airport,Maldives,Indian/Maldives
MLG,Abdul Rachman Saleh Airport,Indonesia,Asia/Jakarta
MLI,Quad City International Airport,United States,America/Chicago
MLL,Marshall Don Hunter Sr Airport,United States,America/Anchorage
MLM,General Francisco J. Mujica International Airport,Mexico,America/Mexico_City
MLN,Melilla Airport,Spain,Europe/Madrid
MLO,Milos Airport,Greece,Europe/Athens
MLS,Frank Wiley Field,United States,America/Denver
MLU,Monroe Regional Airport,United States,America/Chicago
MLW,Spriggs Payne Airport,Liberia,Africa/Monrovia
MLX,Malatya Erhaç Airport,Turkey,Europe/Istanbul
MLY,Manley Hot Springs Airport,United States,America/Anchorage
MLZ,Cerro Largo International Airport,Uruguay,
MMB,Memanbetsu Airport,Japan,Asia/Tokyo
MMD,Minami-Daito Airport,Japan,Asia/Tokyo
MME,Durham Tees Valley Airport,United Kingdom,Europe/London
MMG,Mount Magnet Airport,Australia,Australia/Perth
MMH,Mammoth Yosemite Airport,United States,America/Los_Angeles
MMI,McMinn County Airport,United States,America/New_York
MMJ,Matsumoto Airport,Japan,Asia/Tokyo
MMK,Murmansk Airport,Russia,Europe/Moscow
MMO,Maio Airport,Cape Verde,Atlantic/Cape_Verde
MMT,Mc Entire Joint National Guard Base,United States,
MMU,Morristown Municipal Airport,United States,America/New_York
MMX,Malmö Sturup Airport,Sweden,Europe/Stockholm
MMY,Miyako Airport,Japan,Asia/Tokyo
MMZ,Maimana Airport,Afghanistan,Asia/Kabul
MNA,Melangguane Airport,Indonesia,
MNB,Muanda Airport,Congo (Kinshasa),Africa/Kinshasa
MNC,Nacala Airport,Mozambique,Africa/Maputo
MNF,Mana Island Airport,Fiji,Pacific/Fiji
MNG,Maningrida Airport,Australia,Australia/Darwin
MNH,Rustaq Airport,Oman,
MNI,John A. Osborne Airport,Montserrat,America/Montserrat
MNJ,Mananjary Airport,Madagascar,Indian/Antananarivo
MNK,Maiana Airport,Kiribati,Pacific/Tarawa
MNL,Ninoy Aquino International Airport,Philippines,Asia/Manila
MNM,Menominee Regional Airport,United States,America/Chicago
MNR,Mongu Airport,Zambia,Africa/Lusaka
MNS,Mansa Airport,Zambia,
MNU,Mawlamyine Airport,Burma,Asia/Rangoon
MNX,Manicoré Airport,Brazil,America/Boa_Vista
MNY,Mono Airport,Solomon Islands,Pacific/Guadalcanal
MNZ,Manassas Regional Airport/Harry P. Davis Field,United States,America/New_York
MOA,Orestes Acosta Airport,Cuba,America/Havana
MOB,Mobile Regional Airport,United States,America/Chicago
MOC,Mário Ribeiro Airport,Brazil,America/Sao_Paulo
MOD,Modesto City Co-Harry Sham Field,United States,America/Los_Angeles
MOE,Momeik Airport,Burma,Asia/Rangoon
MOF,Maumere(Wai Oti) Airport,Indonesia,Asia/Makassar
MOG,Mong Hsat Airport,Burma,Asia/Rangoon
MOI,Mitiaro Island Airport,Cook Islands,Pacific/Rarotonga
MOJ,Moengo Airstrip,Suriname,America/Paramaribo
MOL,Molde Airport,Norway,Europe/Oslo
MON,Mount Cook Airport,New Zealand,Pacific/Auckland
MOO,Moomba Airport,Australia,Australia/Adelaide
MOQ,Morondava Airport,Madagascar,Indian/Antananarivo
MOT,Minot International Airport,United States,America/Chicago
MOU,Mountain Village Airport,United States,America/Anchorage
MOV,Moranbah Airport,Australia,Australia/Brisbane
MOZ,Moorea Airport,French Polynesia,Pacific/Tahiti
MPA,Katima Mulilo Airport,Namibia,Africa/Windhoek
MPH,Godofredo P. Ramos Airport,Philippines,Asia/Manila
MPK,Mokpo Heliport,South Korea,Asia/Seoul
MPL,Montpellier-Méditerranée Airport,France,Europe/Paris
MPM,Maputo Airport,Mozambique,Africa/Maputo
MPN,Mount Pleasant Airport,Falkland Islands,Atlantic/Stanley
MPO,Pocono Mountains Municipal Airport,United States,
MPV,Edward F Knapp State Airport,United States,America/New_York
MPW,Mariupol International Airport,Ukraine,Europe/Kiev
MPY,Maripasoula Airport,French Guiana,America/Cayenne
MQC,Miquelon Airport,Saint Pierre and Miquelon,America/Miquelon
MQF,Magnitogorsk International Airport,Russia,Asia/Yekaterinburg
MQH,Minaçu Airport,Brazil,America/Sao_Paulo
MQJ,Moma Airport,Russia,Asia/Srednekolymsk
MQL,Mildura Airport,Australia,Australia/Hobart
MQM,Mardin Airport,Turkey,Europe/Istanbul
MQN,"Mo i Rana Airport, Røssvoll",Norway,Europe/Oslo
MQP,Kruger Mpumalanga International Airport,South Africa,Africa/Johannesburg
MQQ,Moundou Airport,Chad,Africa/Ndjamena
MQS,Mustique Airport,Saint Vincent and the Grenadines,America/St_Vincent
MQT,Sawyer International Airport,United States,America/New_York
MQU,Mariquita Airport,Colombia,America/Bogota
MQX,Mekele Airport,Ethiopia,Africa/Addis_Ababa
MQY,Smyrna Airport,United States,America/Chicago
MRB,Eastern WV Regional Airport/Shepherd Field,United States,America/New_York
MRD,Alberto Carnevalli Airport,Venezuela,America/Caracas
MRE,Mara Serena Lodge Airstrip,Kenya,Africa/Nairobi
MRF,Marfa Municipal Airport,United States,
MRG,Mareeba Airport,Australia,
MRI,Merrill Field,United States,America/Anchorage
MRK,Marco Island Executive Airport,United States,America/New_York
MRN,Foothills Regional Airport,United States,America/New_York
MRO,Hood Airport,New Zealand,Pacific/Auckland
MRQ,Marinduque Airport,Philippines,Asia/Manila
MRR,Jose Maria Velasco Ibarra Airport,Ecuador,America/Guayaquil
MRS,Marseille Provence Airport,France,Europe/Paris
MRU,Sir Seewoosagur Ramgoolam International Airport,Mauritius,Indian/Mauritius
MRV,Mineralnyye Vody Airport,Russia,Europe/Moscow
MRW,Lolland Falster Maribo Airport,Denmark,Europe/Copenhagen
MRX,Mahshahr Airport,Iran,Asia/Tehran
MRY,Monterey Peninsula Airport,United States,America/Los_Angeles
MRZ,Moree Airport,Australia,Australia/Sydney
MSA,Muskrat Dam Airport,Canada,America/Winnipeg
MSC,Falcon Field,United States,America/Phoenix
MSE,Kent International Airport,United Kingdom,Europe/London
MSH,Masirah Air Base,Oman,Asia/Muscat
MSJ,Misawa Air Base,Japan,Asia/Tokyo
MSL,Northwest Alabama Regional Airport,United States,America/Chicago
MSN,Dane County Regional Truax Field,United States,America/Chicago
MSO,Missoula International Airport,United States,America/Denver
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,United States,America/Chicago
MSQ,Minsk National Airport,Belarus,Europe/Minsk
MSR,Muş Airport,Turkey,Europe/Istanbul
MSS,Massena International Richards Field,United States,America/New_York
MST,Maastricht Aachen Airport,Netherlands,Europe/Amsterdam
MSU,Moshoeshoe I International Airport,Lesotho,Africa/Maseru
MSW,Massawa International Airport,Eritrea,Africa/Asmera
MSY,Louis Armstrong New Orleans International Airport,United States,America/Chicago
MSZ,Namibe Airport,Angola,Africa/Luanda
MTC,Selfridge Air National Guard Base Airport,United States,America/New_York
MTF,Mizan Teferi Airport,Ethiopia,Africa/Addis_Ababa
MTG,Vila Bela da Santíssima Trindade Airport,Brazil,
MTH,The Florida Keys Marathon Airport,United States,America/New_York
MTJ,Montrose Regional Airport,United States,America/Denver
MTK,Makin Island Airport,Kiribati,Pacific/Tarawa
MTL,Maitland Airport,Australia,Australia/Sydney
MTM,Metlakatla Seaplane Base,United States,America/Anchorage
MTN,Martin State Airport,United States,America/New_York
MTP,Montauk Airport,United States,
MTR,Los Garzones Airport,Colombia,America/Bogota
MTS,Matsapha Airport,Swaziland,Africa/Mbabane
MTT,Minatitlán/Coatzacoalcos National Airport,Mexico,America/Mexico_City
MTV,Mota Lava Airport,Vanuatu,Pacific/Efate
MTY,General Mariano Escobedo International Airport,Mexico,America/Mexico_City
MTZ,Bar Yehuda Airfield,Israel,Asia/Jerusalem
MUA,Munda Airport,Solomon Islands,Pacific/Guadalcanal
MUB,Maun Airport,Botswana,Africa/Gaborone
MUC,Munich Airport,Germany,Europe/Berlin
MUD,Mueda Airport,Mozambique,Africa/Maputo
MUE,Waimea Kohala Airport,United States,Pacific/Honolulu
MUH,Mersa Matruh Airport,Egypt,Africa/Cairo
MUI,Muir Army Air Field (Fort Indiantown Gap) Airport,United States,America/New_York
MUK,Mauke Airport,Cook Islands,Pacific/Rarotonga
MUN,Maturín Airport,Venezuela,America/Caracas
MUO,Mountain Home Air Force Base,United States,America/Denver
MUR,Marudi Airport,Malaysia,Asia/Kuala_Lumpur
MUS,Minami Torishima Airport,Japan,Asia/Tokyo
MUW,Ghriss Airport,Algeria,Africa/Algiers
MUX,Multan International Airport,Pakistan,Asia/Karachi
MUZ,Musoma Airport,Tanzania,Africa/Dar_es_Salaam
MVA,Reykjahlíð Airport,Iceland,Atlantic/Reykjavik
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Gabon,Africa/Libreville
MVD,Carrasco International /General C L Berisso Airport,Uruguay,America/Montevideo
MVF,Dix-Sept Rosado Airport,Brazil,America/Fortaleza
MVL,Morrisville Stowe State Airport,United States,America/New_York
MVP,Fabio Alberto Leon Bentley Airport,Colombia,America/Bogota
MVQ,Mogilev Airport,Belarus,Europe/Minsk
MVR,Salak Airport,Cameroon,Africa/Douala
MVS,Mucuri Airport,Brazil,America/Fortaleza
MVT,Mataiva Airport,French Polynesia,Pacific/Tahiti
MVV,Megève Airport,France,Europe/Paris
MVW,Skagit Regional Airport,United States,
MVY,Martha's Vineyard Airport,United States,America/New_York
MVZ,Masvingo International Airport,Zimbabwe,Africa/Harare
MWA,Williamson County Regional Airport,United States,America/Chicago
MWC,Lawrence J Timmerman Airport,United States,America/Chicago
MWD,Mianwali Air Base,Pakistan,Asia/Karachi
MWE,Merowe New Airport,Sudan,
MWF,Maewo-Naone Airport,Vanuatu,Pacific/Efate
MWH,Grant County International Airport,United States,America/Los_Angeles
MWK,Tarempa Airport,Indonesia,Asia/Jakarta
MWL,Mineral Wells Airport,United States,America/Chicago
MWQ,Magway Airport,Burma,Asia/Rangoon
MWX,Muan International Airport,South Korea,Asia/Seoul
MWZ,Mwanza Airport,Tanzania,Africa/Dar_es_Salaam
MXB,Andi Jemma Airport,Indonesia,Asia/Makassar
MXF,Maxwell Air Force Base,United States,America/Chicago
MXH,Moro Airport,Papua New Guinea,Pacific/Port_Moresby
MXI,Mati National Airport,Philippines,
MXJ,Minna Airport,Nigeria,Africa/Lagos
MXL,General Rodolfo Sánchez Taboada International Airport,Mexico,America/Tijuana
MXM,Morombe Airport,Madagascar,Indian/Antananarivo
MXN,Morlaix-Ploujean Airport,France,Europe/Paris
MXP,Malpensa International Airport,Italy,Europe/Rome
MXS,Maota Airport,Samoa,Pacific/Apia
MXT,Maintirano Airport,Madagascar,Indian/Antananarivo
MXV,Mörön Airport,Mongolia,Asia/Ulaanbaatar
MXX,Mora Airport,Sweden,Europe/Stockholm
MXZ,Meixian Airport,China,Asia/Shanghai
MYA,Moruya Airport,Australia,Australia/Sydney
MYB,Mayumba Airport,Gabon,Africa/Libreville
MYC,Escuela Mariscal Sucre Airport,Venezuela,America/Caracas
MYD,Malindi Airport,Kenya,Africa/Nairobi
MYE,Miyakejima Airport,Japan,Asia/Tokyo
MYG,Mayaguana Airport,Bahamas,America/Nassau
MYI,Murray Island Airport,Australia,Australia/Brisbane
MYJ,Matsuyama Airport,Japan,Asia/Tokyo
MYL,McCall Municipal Airport,United States,America/Denver
MYP,Mary Airport,Turkmenistan,Asia/Ashgabat
MYQ,Mysore Airport,India,Asia/Calcutta
MYR,Myrtle Beach International Airport,United States,America/New_York
MYT,Myitkyina Airport,Burma,Asia/Rangoon
MYU,Mekoryuk Airport,United States,America/Anchorage
MYV,Yuba County Airport,United States,America/Los_Angeles
MYW,Mtwara Airport,Tanzania,Africa/Dar_es_Salaam
MYY,Miri Airport,Malaysia,Asia/Kuala_Lumpur
MYZ,Monkey Bay Airport,Malawi,
MZB,Mocímboa da Praia Airport,Mozambique,Africa/Maputo
MZG,Makung Airport,Taiwan,Asia/Taipei
MZH,Amasya Merzifon Airport,Turkey,Europe/Istanbul
MZI,Mopti Airport,Mali,Africa/Bamako
MZJ,Pinal Airpark,United States,America/Phoenix
MZK,Marakei Airport,Kiribati,Pacific/Tarawa
MZL,La Nubia Airport,Colombia,America/Bogota
MZM,Metz-Frescaty (BA 128) Air Base,France,Europe/Paris
MZO,Sierra Maestra Airport,Cuba,America/Havana
MZP,Motueka Airport,New Zealand,Pacific/Auckland
MZQ,Mkuze Airport,South Africa,Africa/Johannesburg
MZR,Mazar I Sharif Airport,Afghanistan,Asia/Kabul
MZT,General Rafael Buelna International Airport,Mexico,America/Mazatlan
MZU,Muzaffarpur Airport,India,Asia/Calcutta
MZV,Mulu Airport,Malaysia,Asia/Kuala_Lumpur
MZW,Mecheria Airport,Algeria,Africa/Algiers
NAA,Narrabri Airport,Australia,Australia/Sydney
NAC,Naracoorte Airport,Australia,
NAG,Dr. Babasaheb Ambedkar International Airport,India,Asia/Calcutta
NAH,Naha Airport,Indonesia,Asia/Makassar
NAI,Annai Airport,Guyana,America/Guyana
NAJ,Nakhchivan Airport,Azerbaijan,Asia/Baku
NAK,Nakhon Ratchasima Airport,Thailand,Asia/Bangkok
NAL,Nalchik Airport,Russia,Europe/Moscow
NAM,Namlea Airport,Indonesia,
NAN,Nadi International Airport,Fiji,Pacific/Fiji
NAO,Nanchong Airport,China,Asia/Shanghai
NAP,Naples International Airport,Italy,Europe/Rome
NAQ,Qaanaaq Airport,Greenland,America/Thule
NAS,Lynden Pindling International Airport,Bahamas,America/Nassau
NAT,Governador Aluízio Alves International Airport,Brazil,America/Fortaleza
NAU,Napuka Island Airport,French Polynesia,
NAV,Nevşehir Kapadokya Airport,Turkey,Europe/Istanbul
NAW,Narathiwat Airport,Thailand,Asia/Bangkok
NAY,Beijing Nanyuan Airport,China,Asia/Shanghai
NBC,Begishevo Airport,Russia,Europe/Moscow
NBE,Enfidha - Hammamet International Airport,Tunisia,Africa/Tunis
NBG,New Orleans NAS JRB/Alvin Callender Field,United States,America/Chicago
NBN,Annobón Airport,Equatorial Guinea,
NBO,Jomo Kenyatta International Airport,Kenya,Africa/Nairobi
NBS,Changbaishan Airport,China,Asia/Shanghai
NBW,Leeward Point Field,Cuba,
NBX,Nabire Airport,Indonesia,Asia/Jayapura
NCA,North Caicos Airport,Turks and Caicos Islands,America/Grand_Turk
NCE,Nice-Côte d'Azur Airport,France,Europe/Paris
NCG,Nuevo Casas Grandes Airport,Mexico,America/Mazatlan
NCJ,Sunchales Aeroclub Airport,Argentina,
NCL,Newcastle Airport,United Kingdom,Europe/London
NCN,Chenega Bay Airport,United States,America/Anchorage
NCO,Quonset State Airport,United States,America/New_York
NCR,San Carlos,Nicaragua,America/Managua
NCS,Newcastle Airport,South Africa,Africa/Johannesburg
NCU,Nukus Airport,Uzbekistan,Asia/Samarkand
NCY,Annecy-Haute-Savoie-Mont Blanc Airport,France,Europe/Paris
NDB,Nouadhibou International Airport,Mauritania,Africa/Nouakchott
NDC,Nanded Airport,India,Asia/Calcutta
NDD,Sumbe Airport,Angola,
NDG,Qiqihar Sanjiazi Airport,China,Asia/Shanghai
NDJ,N'Djamena International Airport,Chad,Africa/Ndjamena
NDN,Nadunumu Airport,Papua New Guinea,
NDR,Nador International Airport,Morocco,Africa/Casablanca
NDU,Rundu Airport,Namibia,Africa/Windhoek
NDY,Sanday Airport,United Kingdom,Europe/London
NEC,Necochea Airport,Argentina,America/Buenos_Aires
NEG,Negril Airport,Jamaica,America/Jamaica
NEL,Lakehurst Maxfield Field Airport,United States,America/New_York
NER,Chulman Airport,Russia,Asia/Yakutsk
NEU,Sam Neua Airport,Laos,Asia/Vientiane
NEV,Vance W. Amory International Airport,Saint Kitts and Nevis,America/St_Kitts
NEW,Lakefront Airport,United States,America/Chicago
NFG,Nefteyugansk Airport,Russia,Asia/Yekaterinburg
NFL,Fallon Naval Air Station,United States,America/Los_Angeles
NFO,Mata'aho Airport,Tonga,Pacific/Tongatapu
NGA,Young Airport,Australia,
NGB,Ningbo Lishe International Airport,China,Asia/Shanghai
NGD,Captain Auguste George Airport,British Virgin Islands,
NGE,N'Gaoundéré Airport,Cameroon,Africa/Douala
NGF,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,United States,Pacific/Honolulu
NGI,Ngau Airport,Fiji,Pacific/Fiji
NGK,Nogliki Airport,Russia,
NGO,Chubu Centrair International Airport,Japan,Asia/Tokyo
NGQ,Ngari Gunsa Airport,China,Asia/Shanghai
NGS,Nagasaki Airport,Japan,Asia/Tokyo
NGU,Norfolk Naval Station (Chambers Field),United States,America/New_York
NGX,Manang Airport,Nepal,Asia/Katmandu
NGZ,Alameda Naval Air Station,United States,America/Los_Angeles
NHA,Nha Trang Air Base,Vietnam,Asia/Saigon
NHD,Al Minhad Air Base,United Arab Emirates,Asia/Dubai
NHK,Patuxent River Naval Air Station (Trapnell Field),United States,America/New_York
NHT,RAF Northolt,United Kingdom,Europe/London
NHV,Nuku Hiva Airport,French Polynesia,Pacific/Marquesas
NHZ,Brunswick Executive Airport,United States,
NIB,Nikolai Airport,United States,America/Anchorage
NIG,Nikunau Airport,Kiribati,Pacific/Tarawa
NIM,Diori Hamani International Airport,Niger,Africa/Niamey
NIO,Nioki Airport,Congo (Kinshasa),Africa/Kinshasa
NIP,Jacksonville Naval Air Station (Towers Field),United States,America/New_York
NIS,Simberi Airport,Papua New Guinea,
NIT,Niort-Souché Airport,France,Europe/Paris
NIU,Naiu Airport,French Polynesia,Pacific/Tahiti
NJA,Atsugi Naval Air Facility,Japan,Asia/Tokyo
NJC,Nizhnevartovsk Airport,Russia,Asia/Yekaterinburg
NJF,Al Najaf International Airport,Iraq,Asia/Baghdad
NJK,El Centro NAF Airport (Vraciu Field),United States,America/Los_Angeles
NKB,Noonkanbah Airport,Australia,
NKC,Nouakchott–Oumtounsy International Airport,Mauritania,Africa/Nouakchott
NKG,Nanjing Lukou Airport,China,Asia/Shanghai
NKM,Nagoya Airport,Japan,Asia/Tokyo
NKT,Şırnak Şerafettin Elçi Airport,Turkey,Europe/Istanbul
NKW,Diego Garcia Naval Support Facility,British Indian Ocean Territory,Indian/Chagos
NKX,Miramar Marine Corps Air Station - Mitscher Field,United States,America/Los_Angeles
NLA,Simon Mwansa Kapwepwe International Airport,Zambia,Africa/Lusaka
NLC,Lemoore Naval Air Station (Reeves Field) Airport,United States,America/Los_Angeles
NLD,Quetzalcóatl International Airport,Mexico,America/Mexico_City
NLF,Darnley Island Airport,Australia,Australia/Brisbane
NLG,Nelson Lagoon Airport,United States,America/Anchorage
NLH,Ninglang Luguhu Airport,China,
NLI,Nikolayevsk-na-Amure Airport,Russia,
NLK,Norfolk Island International Airport,Norfolk Island,Pacific/Norfolk
NLO,Ndolo Airport,Congo (Kinshasa),Africa/Kinshasa
NLP,Nelspruit Airport,South Africa,Africa/Johannesburg
NLT,Xinyuan Nalati Airport,China,Asia/Shanghai
NLV,Mykolaiv International Airport,Ukraine,Europe/Kiev
NMA,Namangan Airport,Uzbekistan,Asia/Samarkand
NMB,Daman Airport,India,Asia/Calcutta
NMC,Normans Cay Airport,Bahamas,America/Nassau
NME,Nightmute Airport,United States,America/Anchorage
NMS,Namsang Airport,Burma,Asia/Rangoon
NMT,Namtu Airport,Burma,Asia/Rangoon
NNA,Kenitra Airport,Morocco,Africa/Casablanca
NNB,Santa Ana Airport,Solomon Islands,Pacific/Guadalcanal
NNG,Nanning Wuxu Airport,China,Asia/Shanghai
NNL,Nondalton Airport,United States,America/Anchorage
NNM,Naryan Mar Airport,Russia,Europe/Moscow
NNR,Connemara Regional Airport,Ireland,Europe/Dublin
NNT,Nan Airport,Thailand,Asia/Bangkok
NNX,Nunukan Airport,Indonesia,Asia/Makassar
NNY,Nanyang Jiangying Airport,China,Asia/Shanghai
NOA,Nowra Airport,Australia,Australia/Sydney
NOB,Nosara Airport,Costa Rica,America/Costa_Rica
NOC,Ireland West Knock Airport,Ireland,Europe/Dublin
NOD,Norden-Norddeich Airport,Germany,Europe/Berlin
NOG,Nogales International Airport,Mexico,America/Hermosillo
NOJ,Noyabrsk Airport,Russia,Asia/Yekaterinburg
NON,Nonouti Airport,Kiribati,Pacific/Tarawa
NOP,Sinop Airport,Turkey,Europe/Istanbul
NOR,Norðfjörður Airport,Iceland,Atlantic/Reykjavik
NOS,Fascene Airport,Madagascar,Indian/Antananarivo
NOT,Marin County Airport - Gnoss Field,United States,America/Los_Angeles
NOU,La Tontouta International Airport,New Caledonia,Pacific/Noumea
NOV,Nova Lisboa Airport,Angola,Africa/Luanda
NOZ,Spichenkovo Airport,Russia,Asia/Krasnoyarsk
NPA,Pensacola Naval Air Station/Forrest Sherman Field,United States,America/Chicago
NPE,Hawke's Bay Airport,New Zealand,Pacific/Auckland
NPL,New Plymouth Airport,New Zealand,Pacific/Auckland
NPO,Nanga Pinoh Airport,Indonesia,Asia/Jakarta
NPR,Novo Progresso Airport,Brazil,
NQA,Millington-Memphis Airport,United States,America/Chicago
NQI,Kingsville Naval Air Station,United States,America/Chicago
NQN,Presidente Peron Airport,Argentina,America/Argentina/Salta
NQT,Nottingham Airport,United Kingdom,Europe/London
NQU,Reyes Murillo Airport,Colombia,America/Bogota
NQX,Naval Air Station Key West/Boca Chica Field,United States,America/New_York
NQY,Newquay Cornwall Airport,United Kingdom,Europe/London
NRA,Narrandera Airport,Australia,Australia/Sydney
NRB,Naval Station Mayport (Admiral David L. Mcdonald Field),United States,
NRD,Norderney Airport,Germany,Europe/Berlin
NRE,Namrole Airport,Indonesia,
NRK,Norrköping Airport,Sweden,Europe/Stockholm
NRL,North Ronaldsay Airport,United Kingdom,Europe/London
NRN,Weeze Airport,Germany,Europe/Berlin
NRR,José Aponte de la Torre Airport,Puerto Rico,America/Puerto_Rico
NRT,Narita International Airport,Japan,Asia/Tokyo
NSE,Whiting Field Naval Air Station - North,United States,America/Chicago
NSH,Noshahr Airport,Iran,Asia/Tehran
NSI,Yaoundé Nsimalen International Airport,Cameroon,Africa/Douala
NSK,Norilsk-Alykel Airport,Russia,Asia/Krasnoyarsk
NSN,Nelson Airport,New Zealand,Pacific/Auckland
NSO,Scone Airport,Australia,Australia/Sydney
NST,Nakhon Si Thammarat Airport,Thailand,Asia/Bangkok
NSY,Sigonella Navy Air Base,Italy,Europe/Rome
NTB,Notodden Airport,Norway,Europe/Oslo
NTD,Point Mugu Naval Air Station (Naval Base Ventura Co),United States,America/Los_Angeles
NTE,Nantes Atlantique Airport,France,Europe/Paris
NTI,Stenkol Airport,Indonesia,Asia/Jayapura
NTL,Newcastle Airport,Australia,Australia/Sydney
NTN,Normanton Airport,Australia,Australia/Brisbane
NTQ,Noto Airport,Japan,Asia/Tokyo
NTR,Del Norte International Airport,Mexico,America/Mexico_City
NTT,Kuini Lavenia Airport,Tonga,Pacific/Tongatapu
NTU,Oceana Naval Air Station,United States,America/New_York
NTX,Ranai Airport,Indonesia,Asia/Jakarta
NTY,Pilanesberg International Airport,South Africa,Africa/Johannesburg
NUE,Nuremberg Airport,Germany,Europe/Berlin
NUI,Nuiqsut Airport,United States,America/Anchorage
NUK,Nukutavake Airport,French Polynesia,
NUL,Nulato Airport,United States,America/Anchorage
NUQ,Moffett Federal Airfield,United States,America/Los_Angeles
NUS,Norsup Airport,Vanuatu,Pacific/Efate
NUW,Whidbey Island Naval Air Station (Ault Field),United States,America/Los_Angeles
NUX,Novy Urengoy Airport,Russia,Asia/Yekaterinburg
NVA,Benito Salas Airport,Colombia,America/Bogota
NVI,Navoi Airport,Uzbekistan,Asia/Samarkand
NVK,Narvik Framnes Airport,Norway,Europe/Oslo
NVP,Novo Aripuanã Airport,Brazil,America/Boa_Vista
NVS,Nevers-Fourchambault Airport,France,Europe/Paris
NVT,Ministro Victor Konder International Airport,Brazil,America/Sao_Paulo
NWA,Mohéli Bandar Es Eslam Airport,Comoros,Indian/Comoro
NWI,Norwich International Airport,United Kingdom,Europe/London
NXX,Willow Grove Naval Air Station/Joint Reserve Base,United States,America/New_York
NYA,Nyagan Airport,Russia,Asia/Yekaterinburg
NYE,Nyeri Airport,Kenya,Africa/Nairobi
NYI,Sunyani Airport,Ghana,Africa/Accra
NYK,Nanyuki Airport,Kenya,Africa/Nairobi
NYM,Nadym Airport,Russia,Asia/Yekaterinburg
NYO,Stockholm Skavsta Airport,Sweden,Europe/Stockholm
NYR,Nyurba Airport,Russia,
NYT,Naypyidaw Airport,Burma,Asia/Rangoon
NYU,Bagan Airport,Burma,Asia/Rangoon
NYW,Monywar Airport,Burma,Asia/Rangoon
NZA,Nzagi Airport,Angola,Africa/Luanda
NZC,Maria Reiche Neuman Airport,Peru,America/Lima
NZE,Nzérékoré Airport,Guinea,
NZH,Manzhouli Xijiao Airport,China,Asia/Shanghai
NZJ,El Toro Marine Corps Air Station,United States,America/Los_Angeles
NZL,Chengjisihan Airport,China,
NZY,North Island Naval Air Station-Halsey Field,United States,America/Los_Angeles
OAA,Shank Air Base,Afghanistan,Asia/Kabul
OAG,Orange Airport,Australia,Australia/Sydney
OAH,Shindand Airport,Afghanistan,Asia/Kabul
OAI,Bagram Air Base,Afghanistan,Asia/Kabul
OAJ,Albert J Ellis Airport,United States,America/New_York
OAK,Metropolitan Oakland International Airport,United States,America/Los_Angeles
OAL,Cacoal Airport,Brazil,America/Boa_Vista
OAM,Oamaru Airport,New Zealand,Pacific/Auckland
OAR,Marina Municipal Airport,United States,America/Los_Angeles
OAS,Sharana Airstrip,Afghanistan,Asia/Kabul
OAX,Xoxocotlán International Airport,Mexico,America/Mexico_City
OAZ,Camp Bastion Airport,Afghanistan,Asia/Kabul
OBC,Obock Airport,Djibouti,Africa/Djibouti
OBE,Okeechobee County Airport,United States,America/New_York
OBF,Oberpfaffenhofen Airport,Germany,Europe/Berlin
OBL,Zoersel (Oostmalle) Airfield,Belgium,Europe/Brussels
OBN,Oban Airport,United Kingdom,Europe/London
OBO,Tokachi-Obihiro Airport,Japan,Asia/Tokyo
OBS,Aubenas-Ardèche Méridional Airport,France,Europe/Paris
OBU,Kobuk Airport,United States,America/Anchorage
OBY,Ittoqqortoormiit Heliport,Greenland,America/Scoresbysund
OCA,Ocean Reef Club Airport,United States,America/New_York
OCC,Francisco De Orellana Airport,Ecuador,America/Guayaquil
OCF,Ocala International Airport - Jim Taylor Field,United States,America/New_York
OCJ,Boscobel Aerodrome,Jamaica,America/Jamaica
OCM,Boolgeeda,Australia,
OCN,Oceanside Municipal Airport,Australia,America/Los_Angeles
OCV,Aguas Claras Airport,Colombia,America/Bogota
OCW,Warren Field,United States,America/New_York
ODB,Córdoba Airport,Spain,Europe/Madrid
ODE,Odense Airport,Denmark,Europe/Copenhagen
ODH,RAF Odiham,United Kingdom,Europe/London
ODN,Long Seridan Airport,Malaysia,Asia/Kuala_Lumpur
ODO,Bodaybo Airport,Russia,Asia/Irkutsk
ODS,Odessa International Airport,Ukraine,Europe/Kiev
ODY,Oudomsay Airport,Laos,Asia/Vientiane
OEL,Oryol Yuzhny Airport,United States,
OEM,Vincent Fayks Airport,Suriname,America/Paramaribo
OER,Örnsköldsvik Airport,Sweden,Europe/Stockholm
OES,Antoine de Saint Exupéry Airport,Argentina,America/Argentina/Salta
OFF,Offutt Air Force Base,United States,America/Chicago
OFK,Karl Stefan Memorial Airport,United States,
OGB,Orangeburg Municipal Airport,United States,
OGD,Ogden Hinckley Airport,United States,America/Denver
OGG,Kahului Airport,United States,Pacific/Honolulu
OGL,Eugene F. Correira International Airport,Guyana,America/Guyana
OGN,Yonaguni Airport,Japan,Asia/Tokyo
OGS,Ogdensburg International Airport,United States,America/New_York
